"","t","fluorI"
"1",0,10.1385967718684
"2",1,8.35533475533268
"3",2,6.76788471742473
"4",3,5.36280912133003
"5",4,4.48247204833858
"6",5,4.18185893519706
"7",6,3.34896480340668
"8",7,2.71315594667858
"9",8,2.62614956633054
"10",9,2.06087018509515
"11",10,1.86074194679208
"12",11,1.97873314323764
"13",12,1.83378700440039
"14",13,1.51439267158402
"15",14,1.30714846254938
"16",15,0.741412075403802
"17",16,0.631299882299171
"18",17,1.02965656564605
"19",18,0.902298811540632
"20",19,0.558746438644141
"21",20,0.400682660920331
"22",21,0.802962302399545
"23",22,0.515497522312792
"24",23,0.905477723273229
"25",24,0.344178788232269
"26",25,0.103340446000128
"27",26,0.879290356441754
"28",27,0.577592309885709
"29",28,0.493046226597491
"30",29,0.366163886781245
"31",30,0.125189162368687
"32",31,0.466644952642418
"33",32,-0.095514224245819
"34",33,0.177120019463404
"35",34,0.20511866185474
"36",35,0.312909299607934
"37",36,0.184261436760406
"38",37,0.151930611035154
"39",38,0.216249309890573
"40",39,-0.0782341680185992
"41",40,0.32520930978664
